"","JPG","X","Y","W","H","BRAND","CONFIDENCE","FRAME","A1","A2","A3","A4","A5","A6","A7","A8","A9","P1","P2","P3","P4","P5","P6","P7","P8","P9","A","P"
"28","/data/yann/nfl/vid/all_imgs1/part_1_000363.jpg",12,128,245,135,"Gillette",99,363,33075,0,0,0,0,0,0,0,0,0.142119140625,0,0,0,0,0,0,0,0,0.0159505208333333,1.563310546875
"29","/data/yann/nfl/vid/all_imgs1/part_1_000364.jpg",10,130,241,135,"Gillette",99,364,32535,0,0,0,0,0,0,0,0,0.139798828125,0,0,0,0,0,0,0,0,0.0156901041666667,1.537787109375
"30","/data/yann/nfl/vid/all_imgs1/part_1_000368.jpg",240,265,109,120,"Pepsi",99,368,10355,0,0,2725,0,0,0,0,0,0.044494140625,0,0,0.011708984375,0,0,0,0,0,0.00630787037037037,0.618234375
"31","/data/yann/nfl/vid/all_imgs1/part_1_000368.jpg",232,261,122,133,"Pepsi",89,368,12078,0,0,4148,0,0,0,0,0,0.04665546875,0,0,0.0160230902777778,0,0,0,0,0,0.00782503858024691,0.689464149305556
"32","/data/yann/nfl/vid/all_imgs1/part_1_000374.jpg",0,126,233,134,"Gillette",99,374,31222,0,0,0,0,0,0,0,0,0.13415703125,0,0,0,0,0,0,0,0,0.0150569058641975,1.47572734375
"33","/data/yann/nfl/vid/all_imgs1/part_1_000375.jpg",0,124,232,135,"Gillette",99,375,31320,0,0,0,0,0,0,0,0,0.134578125,0,0,0,0,0,0,0,0,0.0151041666666667,1.480359375
"34","/data/yann/nfl/vid/all_imgs1/part_1_000385.jpg",0,113,186,132,"Gillette",99,385,24552,0,0,0,0,0,0,0,0,0.105496875,0,0,0,0,0,0,0,0,0.0118402777777778,1.160465625
"35","/data/yann/nfl/vid/all_imgs1/part_1_000470.jpg",166,273,140,106,"Pepsi",99,470,12180,0,0,2660,0,0,0,0,0,0.0523359375,0,0,0.0114296875,0,0,0,0,0,0.00715663580246914,0.701421875
"36","/data/yann/nfl/vid/all_imgs1/part_1_000470.jpg",178,269,111,108,"Pepsi",99,470,10101,0,0,1887,0,0,0,0,0,0.043402734375,0,0,0.008108203125,0,0,0,0,0,0.00578125,0.5666203125
"37","/data/yann/nfl/vid/all_imgs1/part_1_000471.jpg",167,273,139,105,"Pepsi",80,471,12093,0,0,2502,0,0,0,0,0,0.0419895833333333,0,0,0.0086875,0,0,0,0,0,0.0070384837962963,0.557447916666667
"38","/data/yann/nfl/vid/all_imgs1/part_1_000471.jpg",179,268,110,109,"Pepsi",99,471,10120,0,0,1870,0,0,0,0,0,0.043484375,0,0,0.00803515625,0,0,0,0,0,0.00578221450617284,0.56671484375
"39","/data/yann/nfl/vid/all_imgs1/part_1_000472.jpg",167,271,139,108,"Pepsi",97,472,12371,0,0,2641,0,0,0,0,0,0.0520827690972222,0,0,0.0111187934027778,0,0,0,0,0,0.00723958333333333,0.6952171875
"40","/data/yann/nfl/vid/all_imgs1/part_1_000472.jpg",179,268,110,109,"Pepsi",99,472,10120,0,0,1870,0,0,0,0,0,0.043484375,0,0,0.00803515625,0,0,0,0,0,0.00578221450617284,0.56671484375
"41","/data/yann/nfl/vid/all_imgs1/part_1_000473.jpg",168,272,137,107,"Pepsi",95,473,12056,0,0,2603,0,0,0,0,0,0.0497100694444444,0,0,0.0107328559027778,0,0,0,0,0,0.00706934799382716,0.664872178819444
"42","/data/yann/nfl/vid/all_imgs1/part_1_000474.jpg",167,272,139,107,"Pepsi",93,474,12232,0,0,2641,0,0,0,0,0,0.0493739583333333,0,0,0.0106602864583333,0,0,0,0,0,0.00717255015432099,0.660376692708333
"43","/data/yann/nfl/vid/all_imgs1/part_1_000512.jpg",213,271,112,107,"Pepsi",99,512,9968,0,0,2016,0,0,0,0,0,0.04283125,0,0,0.0086625,0,0,0,0,0,0.00577932098765432,0.56643125
"44","/data/yann/nfl/vid/all_imgs1/part_1_000512.jpg",0,131,197,134,"Gillette",99,512,26398,0,0,0,0,0,0,0,0,0.11342890625,0,0,0,0,0,0,0,0,0.0127305169753086,1.24771796875
"45","/data/yann/nfl/vid/all_imgs1/part_1_000516.jpg",0,124,232,140,"Gillette",99,516,32480,0,0,0,0,0,0,0,0,0.1395625,0,0,0,0,0,0,0,0,0.0156635802469136,1.5351875
"46","/data/yann/nfl/vid/all_imgs1/part_1_000517.jpg",0,130,234,136,"Gillette",99,517,31824,0,0,0,0,0,0,0,0,0.13674375,0,0,0,0,0,0,0,0,0.0153472222222222,1.50418125
"47","/data/yann/nfl/vid/all_imgs1/part_1_000518.jpg",0,134,232,135,"Gillette",99,518,31320,0,0,0,0,0,0,0,0,0.134578125,0,0,0,0,0,0,0,0,0.0151041666666667,1.480359375
"48","/data/yann/nfl/vid/all_imgs1/part_1_000521.jpg",6,105,259,174,"Gillette",99,521,45066,0,0,0,0,0,0,0,0,0.19364296875,0,0,0,0,0,0,0,0,0.0217332175925926,2.13007265625
"49","/data/yann/nfl/vid/all_imgs1/part_1_000522.jpg",19,108,272,174,"Gillette",98,522,47328,0,0,0,0,0,0,0,0,0.201308333333333,0,0,0,0,0,0,0,0,0.0228240740740741,2.21439166666667
"50","/data/yann/nfl/vid/all_imgs1/part_1_000523.jpg",27,122,226,147,"Gillette",100,523,33222,0,0,0,0,0,0,0,0,0.144192708333333,0,0,0,0,0,0,0,0,0.016021412037037,1.58611979166667
