JPG,X,Y,W,H,BRAND,CONFIDENCE,FRAME,A1,A2,A3,A4,A5,A6,A7,A8,A9,P1,P2,P3,P4,P5,P6,P7,P8,P9,A,P
/data/yann/nfl/vid/all_imgs1/part_1_000368.jpg,232,261,122,133,Pepsi,89,368,12078,0,0,4148,0,0,0,0,0,0.046655469,0,0,0.01602309,0,0,0,0,0,0.007825039,0.501428472
/data/yann/nfl/vid/all_imgs1/part_1_000374.jpg,0,126,233,134,Gillette,99,374,31222,0,0,0,0,0,0,0,0,0.134157031,0,0,0,0,0,0,0,0,0.015056906,1.07325625
/data/yann/nfl/vid/all_imgs1/part_1_000375.jpg,0,124,232,135,Gillette,99,375,31320,0,0,0,0,0,0,0,0,0.134578125,0,0,0,0,0,0,0,0,0.015104167,1.076625
/data/yann/nfl/vid/all_imgs1/part_1_000385.jpg,0,113,186,132,Gillette,99,385,24552,0,0,0,0,0,0,0,0,0.105496875,0,0,0,0,0,0,0,0,0.011840278,0.843975
/data/yann/nfl/vid/all_imgs1/part_1_000470.jpg,166,273,140,106,Pepsi,99,470,12180,0,0,2660,0,0,0,0,0,0.052335938,0,0,0.011429688,0,0,0,0,0,0.007156636,0.510125
/data/yann/nfl/vid/all_imgs1/part_1_000470.jpg,178,269,111,108,Pepsi,99,470,10101,0,0,1887,0,0,0,0,0,0.043402734,0,0,0.008108203,0,0,0,0,0,0.00578125,0.4120875
/data/yann/nfl/vid/all_imgs1/part_1_000471.jpg,167,273,139,105,Pepsi,80,471,12093,0,0,2502,0,0,0,0,0,0.041989583,0,0,0.0086875,0,0,0,0,0,0.007038484,0.405416667
/data/yann/nfl/vid/all_imgs1/part_1_000471.jpg,179,268,110,109,Pepsi,99,471,10120,0,0,1870,0,0,0,0,0,0.043484375,0,0,0.008035156,0,0,0,0,0,0.005782215,0.41215625
/data/yann/nfl/vid/all_imgs1/part_1_000472.jpg,167,271,139,108,Pepsi,97,472,12371,0,0,2641,0,0,0,0,0,0.052082769,0,0,0.011118793,0,0,0,0,0,0.007239583,0.5056125
/data/yann/nfl/vid/all_imgs1/part_1_000472.jpg,179,268,110,109,Pepsi,99,472,10120,0,0,1870,0,0,0,0,0,0.043484375,0,0,0.008035156,0,0,0,0,0,0.005782215,0.41215625
/data/yann/nfl/vid/all_imgs1/part_1_000473.jpg,168,272,137,107,Pepsi,95,473,12056,0,0,2603,0,0,0,0,0,0.049710069,0,0,0.010732856,0,0,0,0,0,0.007069348,0.483543403
