"","BRAND","Time","Size","Prominence"
"1","Air France",0.0666666666666667,0.629209104938272,0.00108364493767913
"2","Alka-Seltzer",0.1,0.0339409722222222,5.84863027394521e-05
"3","Atlanta Falcons",0.0666666666666667,0.133910590277778,0.000224697555280611
"4","Avis",0.0333333333333333,0.11695987654321,0.000125055166050123
"5","Baltimore Ravens",69.0333333333333,0.0872338526484194,0.410253296202739
"6","Bose",0.266666666666667,0.00937644675925926,7.62204642404852e-05
"7","Boston Celtics",1.56666666666667,0.0562508208563173,0.00628662578942545
"8","Capital One",3.13333333333333,0.0518263129596795,0.00640335150417833
"9","CCM Hockey",0.0333333333333333,0.142211130401235,0.000152641221755649
"10","Corona",0.2,0.0265655542695473,0.0002523904073352
"11","Country Club Prep",0.0666666666666667,0.0955307195216049,0.000139926327234553
"12","Crest",0.0666666666666667,0.449679301697531,0.000786309352712791
"13","Diesel Clothing",0.0333333333333333,0.0319984567901235,1.38205692194894e-05
"14","Doritos tortilla chips",5.23333333333333,0.0400297860393568,0.0146344871364269
"15","Dunkin' Donuts",2,0.0233591901363169,0.00282850848319919
"16","EA Sports",1.9,0.0568981566087286,0.00969128622452593
"17","Emirates Airlines",0.0333333333333333,0.00998505015432099,4.26955233953209e-05
"18","ESPN",30.2666666666667,0.0514365267835291,0.0860614584921557
"19","Extra Gum",4.33333333333333,0.0543474485102089,0.0275822492012014
"20","Fifa",1.4,0.16345476925338,0.0221185822601105
"21","Ghostbusters",0.0333333333333333,0.0350390625,2.30791185512897e-05
"22","Gillette",8.33333333333333,0.0163208777006173,0.00572651612906585
"23","Gillette Fusion",4.76666666666667,0.0362477978233187,0.0174199073128083
"24","GMC",47.0666666666667,0.030218403269594,0.102727649970006
"25","Heineken",11.2333333333333,0.0617821712894274,0.0727586910664742
"26","Hermes Paris",0.0333333333333333,0.31514419367284,0.000233894833012564
"27","Houston Texans",0.533333333333333,0.038193660783179,0.000622967825705692
"28","Hyundai",9.96666666666667,0.0240428889121145,0.00746808822350113
"29","IBM",0.333333333333333,0.151010127314815,0.00540165060217123
"30","Ikea",0.0666666666666667,0.0455678530092593,7.23552477004599e-05
"31","K2 Sports",0.0333333333333333,0.357364969135802,0.000313907343531294
"32","Klondike",0.0666666666666667,0.360584731867284,0.000672368833524962
"33","Lowe's",0.0333333333333333,0.024951774691358,1.32018387989069e-05
"34","M&M's",0.0333333333333333,0.124453125,0.000114694206991935
"35","Maverick Sports",0.0333333333333333,0.117901234567901,0.000104356982770113
"36","Microsoft",2.4,0.0454351664308985,0.00527848844293641
"37","Monster Jam",0.0333333333333333,0.271063368055556,0.000313546603179364
"38","NBA",0.0666666666666667,0.00808400848765432,1.17174794207825e-05
"39","New England Patriots",108.666666666667,0.13153768290114,0.836941001875146
"40","New York Knicks",1.56666666666667,0.0510485515990281,0.0055250803979829
"41","NFL",19.9,0.048449926296865,0.0621272006301865
"42","Nike",0.866666666666667,0.0083864368174264,0.000218915461699327
"43","Pepsi",0.8,0.0120209217463992,0.0002595777146654
"44","Philadelphia Eagles",0.0333333333333333,0.0397029320987654,2.31501199760048e-05
"45","Pittsburgh Steelers",0.4,0.0347804542824074,0.000478910952184563
"46","Planters",0.0333333333333333,0.107400173611111,7.45880198960208e-05
"47","Playstation",3.93333333333333,0.0750794981952291,0.0255661822401145
"48","Prada",0.0333333333333333,0.0233275462962963,1.00754849030194e-05
"49","Sam's Club",0.0333333333333333,0.0368648726851852,7.12094846655669e-05
"50","Target",0.0666666666666667,0.00846161265432099,1.04444944344464e-05
"51","Toyota",8.5,0.0399188850308642,0.0237287910881365
"52","UFC",0.0666666666666667,0.186228539737654,0.000309019334154003
"53","Vanity Fair Magazine",0.0333333333333333,0.751460262345679,0.00049253232686796
"54","Verizon",10.6333333333333,0.148134608779365,0.148704279391518
"55","Volkswagen",0.2,0.0127420106738683,0.000118847582046091
"56","Wrangler",5.53333333333333,0.230778661521084,0.10182801134044
"57","Xbox",6.53333333333333,0.100132095517605,0.0652769545361761
